datetime,total_requests,total_errors
2024-11-30 06:45:00+00:00,302,2
2024-11-30 07:00:00+00:00,607,14
2024-11-30 07:15:00+00:00,565,7
2024-11-30 07:30:00+00:00,542,6
2024-11-30 07:45:00+00:00,547,8
2024-11-30 08:00:00+00:00,543,9
2024-11-30 08:15:00+00:00,715,30
2024-11-30 08:30:00+00:00,553,8
2024-11-30 08:45:00+00:00,535,8
2024-11-30 09:00:00+00:00,575,11
2024-11-30 09:15:00+00:00,536,10
2024-11-30 09:30:00+00:00,541,7
2024-11-30 09:45:00+00:00,512,5
2024-11-30 10:00:00+00:00,598,15
2024-11-30 10:15:00+00:00,535,7
2024-11-30 10:30:00+00:00,546,18
2024-11-30 10:45:00+00:00,540,7
2024-11-30 11:00:00+00:00,539,11
2024-11-30 11:15:00+00:00,544,9
2024-11-30 11:30:00+00:00,515,3
2024-11-30 11:45:00+00:00,506,4
2024-11-30 12:00:00+00:00,499,6
2024-11-30 12:15:00+00:00,484,4
2024-11-30 12:30:00+00:00,521,7
2024-11-30 12:45:00+00:00,519,7
2024-11-30 13:00:00+00:00,546,7
2024-11-30 13:15:00+00:00,545,4
2024-11-30 13:30:00+00:00,537,6
2024-11-30 13:45:00+00:00,517,5
2024-11-30 14:00:00+00:00,504,7
2024-11-30 14:15:00+00:00,485,3
2024-11-30 14:30:00+00:00,495,5
2024-11-30 14:45:00+00:00,517,5
2024-11-30 15:00:00+00:00,518,7
2024-11-30 15:15:00+00:00,515,4
2024-11-30 15:30:00+00:00,518,3
2024-11-30 15:45:00+00:00,516,2
2024-11-30 16:00:00+00:00,566,4
2024-11-30 16:15:00+00:00,554,6
2024-11-30 16:30:00+00:00,541,7
2024-11-30 16:45:00+00:00,519,7
2024-11-30 17:00:00+00:00,536,5
2024-11-30 17:15:00+00:00,551,10
2024-11-30 17:30:00+00:00,545,5
2024-11-30 17:45:00+00:00,546,5
2024-11-30 18:00:00+00:00,519,5
2024-11-30 18:15:00+00:00,516,5
2024-11-30 18:30:00+00:00,518,6
2024-11-30 18:45:00+00:00,519,8
2024-11-30 19:00:00+00:00,514,3
2024-11-30 19:15:00+00:00,516,5
2024-11-30 19:30:00+00:00,516,6
2024-11-30 19:45:00+00:00,520,2
2024-11-30 20:00:00+00:00,575,4
2024-11-30 20:15:00+00:00,575,4
2024-11-30 20:30:00+00:00,574,4
2024-11-30 20:45:00+00:00,570,3
2024-11-30 21:00:00+00:00,490,8
2024-11-30 21:15:00+00:00,482,2
2024-11-30 21:30:00+00:00,488,7
2024-11-30 21:45:00+00:00,487,7
2024-11-30 22:00:00+00:00,515,5
2024-11-30 22:15:00+00:00,514,4
2024-11-30 22:30:00+00:00,515,3
2024-11-30 22:45:00+00:00,515,5
2024-11-30 23:00:00+00:00,489,7
2024-11-30 23:15:00+00:00,489,8
2024-11-30 23:30:00+00:00,488,7
2024-11-30 23:45:00+00:00,485,3
2024-12-01 00:00:00+00:00,513,5
2024-12-01 00:15:00+00:00,515,3
2024-12-01 00:30:00+00:00,515,4
2024-12-01 00:45:00+00:00,514,4
2024-12-01 01:00:00+00:00,520,9
2024-12-01 01:15:00+00:00,515,4
2024-12-01 01:30:00+00:00,516,5
2024-12-01 01:45:00+00:00,512,2
2024-12-01 02:00:00+00:00,492,4
2024-12-01 02:15:00+00:00,489,9
2024-12-01 02:30:00+00:00,481,1
2024-12-01 02:45:00+00:00,487,4
2024-12-01 03:00:00+00:00,492,4
2024-12-01 03:15:00+00:00,486,4
2024-12-01 03:30:00+00:00,506,8
2024-12-01 03:45:00+00:00,531,12
2024-12-01 04:00:00+00:00,526,5
2024-12-01 04:15:00+00:00,546,4
2024-12-01 04:30:00+00:00,544,4
2024-12-01 04:45:00+00:00,547,7
2024-12-01 05:00:00+00:00,550,4
2024-12-01 05:15:00+00:00,546,5
2024-12-01 05:30:00+00:00,544,4
2024-12-01 05:45:00+00:00,544,3
2024-12-01 06:00:00+00:00,534,7
2024-12-01 06:15:00+00:00,517,7
2024-12-01 06:30:00+00:00,516,6
2024-12-01 06:45:00+00:00,517,7
2024-12-01 07:00:00+00:00,532,6
2024-12-01 07:15:00+00:00,543,3
2024-12-01 07:30:00+00:00,571,4
2024-12-01 07:45:00+00:00,553,7
2024-12-01 08:00:00+00:00,554,3
2024-12-01 08:15:00+00:00,537,9
2024-12-01 08:30:00+00:00,520,5
2024-12-01 08:45:00+00:00,526,4
2024-12-01 09:00:00+00:00,526,5
2024-12-01 09:15:00+00:00,546,5
2024-12-01 09:30:00+00:00,546,5
2024-12-01 09:45:00+00:00,564,5
2024-12-01 10:00:00+00:00,547,3
2024-12-01 10:15:00+00:00,523,6
2024-12-01 10:30:00+00:00,559,7
2024-12-01 10:45:00+00:00,541,7
2024-12-01 11:00:00+00:00,507,3
2024-12-01 11:15:00+00:00,512,6
2024-12-01 11:30:00+00:00,494,5
2024-12-01 11:45:00+00:00,485,4
2024-12-01 12:00:00+00:00,511,6
2024-12-01 12:15:00+00:00,516,5
2024-12-01 12:30:00+00:00,518,6
2024-12-01 12:45:00+00:00,518,7
2024-12-01 13:00:00+00:00,514,4
2024-12-01 13:15:00+00:00,518,5
2024-12-01 13:30:00+00:00,524,6
2024-12-01 13:45:00+00:00,531,8
2024-12-01 14:00:00+00:00,523,6
2024-12-01 14:15:00+00:00,158,3
